Entity,Code,Year,Indicator:Enforce bans on tobacco advertising
Cambodia,KHM,2012,4
Cambodia,KHM,2014,4
Cameroon,CMR,2007,4
Cameroon,CMR,2010,4
Cameroon,CMR,2012,4
Cameroon,CMR,2014,4
Canada,CAN,2007,2
Canada,CAN,2010,4
Canada,CAN,2012,4
Canada,CAN,2014,4
Cape Verde,CPV,2007,2
Cape Verde,CPV,2010,2
Cape Verde,CPV,2012,2
Cape Verde,CPV,2014,2
Central African Republic,CAF,2007,2
Central African Republic,CAF,2010,2
Central African Republic,CAF,2012,2
Central African Republic,CAF,2014,2
Chad,TCD,2007,3
Chad,TCD,2010,5
Chad,TCD,2012,5
Chad,TCD,2014,5
Chile,CHL,2007,4
Chile,CHL,2010,4
Chile,CHL,2012,4
Chile,CHL,2014,4
China,CHN,2007,4
China,CHN,2010,4
China,CHN,2012,4
China,CHN,2014,4
Colombia,COL,2007,2
Colombia,COL,2010,5
Colombia,COL,2012,5
Colombia,COL,2014,5
Comoros,COM,2007,2
Comoros,COM,2010,4
Comoros,COM,2012,2
Comoros,COM,2014,2
Congo,COG,2007,4
Congo,COG,2010,4
Congo,COG,2012,4
Congo,COG,2014,4
Cook Islands,COK,2007,4
Cook Islands,COK,2010,4
Cook Islands,COK,2012,4
Cook Islands,COK,2014,4
Costa Rica,CRI,2007,2
Costa Rica,CRI,2010,2
Costa Rica,CRI,2012,4
Costa Rica,CRI,2014,4
Cote d'Ivoire,CIV,2007,2
Cote d'Ivoire,CIV,2010,2
Cote d'Ivoire,CIV,2012,2
Cote d'Ivoire,CIV,2014,2
Croatia,HRV,2007,4
Croatia,HRV,2010,4
Croatia,HRV,2012,4
Croatia,HRV,2014,4
Cuba,CUB,2007,2
Cuba,CUB,2010,2
Cuba,CUB,2012,2
Cuba,CUB,2014,2
Cyprus,CYP,2007,4
Cyprus,CYP,2010,4
Cyprus,CYP,2012,4
Cyprus,CYP,2014,4
Czech Republic,CZE,2007,4
Czech Republic,CZE,2010,4
Czech Republic,CZE,2012,4
Czech Republic,CZE,2014,4
Democratic Republic of Congo,COD,2007,3
Democratic Republic of Congo,COD,2010,3
Democratic Republic of Congo,COD,2012,3
Democratic Republic of Congo,COD,2014,3
Denmark,DNK,2007,4
Denmark,DNK,2010,4
Denmark,DNK,2012,4
Denmark,DNK,2014,4
Djibouti,DJI,2007,5
Djibouti,DJI,2010,5
Djibouti,DJI,2012,5
Djibouti,DJI,2014,5
Dominica,DMA,2007,2
Dominica,DMA,2010,2
Dominica,DMA,2012,2
Dominica,DMA,2014,2
Dominican Republic,DOM,2007,2
Dominican Republic,DOM,2010,2
Dominican Republic,DOM,2012,2
Dominican Republic,DOM,2014,2
Ecuador,ECU,2007,2
Ecuador,ECU,2010,2
Ecuador,ECU,2012,4
Ecuador,ECU,2014,4
Egypt,EGY,2007,4
Egypt,EGY,2010,4
Egypt,EGY,2012,4
Egypt,EGY,2014,4
El Salvador,SLV,2007,2
El Salvador,SLV,2010,2
El Salvador,SLV,2012,4
El Salvador,SLV,2014,4
Equatorial Guinea,GNQ,2007,2
Equatorial Guinea,GNQ,2010,2
Equatorial Guinea,GNQ,2012,2
Equatorial Guinea,GNQ,2014,2
Eritrea,ERI,2007,5
Eritrea,ERI,2010,5
Eritrea,ERI,2012,5
Eritrea,ERI,2014,5
Estonia,EST,2007,4
Estonia,EST,2010,4
Estonia,EST,2012,4
Estonia,EST,2014,4
Ethiopia,ETH,2007,2
Ethiopia,ETH,2010,2
Ethiopia,ETH,2012,4
Ethiopia,ETH,2014,4
Fiji,FJI,2007,4
Fiji,FJI,2010,4
Fiji,FJI,2012,4
Fiji,FJI,2014,4
Finland,FIN,2007,4
Finland,FIN,2010,4
Finland,FIN,2012,4
Finland,FIN,2014,4
France,FRA,2007,4
France,FRA,2010,4
France,FRA,2012,4
France,FRA,2014,4
Gabon,GAB,2007,2
Gabon,GAB,2010,2
Gabon,GAB,2012,2
Gabon,GAB,2014,4
Gambia,GMB,2007,4
Gambia,GMB,2010,4
Gambia,GMB,2012,4
Gambia,GMB,2014,4
Georgia,GEO,2007,2
Georgia,GEO,2010,2
Georgia,GEO,2012,2
Georgia,GEO,2014,2
Germany,DEU,2007,3
Germany,DEU,2010,4
Germany,DEU,2012,4
Germany,DEU,2014,4
Ghana,GHA,2007,2
Ghana,GHA,2010,2
Ghana,GHA,2012,5
Ghana,GHA,2014,5
Greece,GRC,2007,4
Greece,GRC,2010,4
Greece,GRC,2012,4
Greece,GRC,2014,4
Grenada,GRD,2007,2
Grenada,GRD,2010,2
Grenada,GRD,2012,2
Grenada,GRD,2014,2
Guatemala,GTM,2007,2
Guatemala,GTM,2010,2
Guatemala,GTM,2012,2
Guatemala,GTM,2014,2
Guinea,GIN,2007,4
Guinea,GIN,2010,4
Guinea,GIN,2012,5
Guinea,GIN,2014,5
Guinea-Bissau,GNB,2007,2
Guinea-Bissau,GNB,2010,2
Guinea-Bissau,GNB,2012,2
Guinea-Bissau,GNB,2014,2
Guyana,GUY,2007,2
Guyana,GUY,2010,2
Guyana,GUY,2012,2
Guyana,GUY,2014,2
Haiti,HTI,2007,2
Haiti,HTI,2010,2
Haiti,HTI,2012,2
Haiti,HTI,2014,2
Honduras,HND,2007,2
Honduras,HND,2010,4
Honduras,HND,2012,4
Honduras,HND,2014,4
Hungary,HUN,2007,4
Hungary,HUN,2010,4
Hungary,HUN,2012,4
Hungary,HUN,2014,4
Iceland,ISL,2007,4
Iceland,ISL,2010,4
Iceland,ISL,2012,4
Iceland,ISL,2014,4
India,IND,2007,4
India,IND,2010,4
India,IND,2012,4
India,IND,2014,4
Indonesia,IDN,2007,2
Indonesia,IDN,2010,2
Indonesia,IDN,2012,2
Indonesia,IDN,2014,2
Iran,IRN,2007,5
Iran,IRN,2010,5
Iran,IRN,2012,5
Iran,IRN,2014,5
Iraq,IRQ,2007,4
Iraq,IRQ,2010,4
Iraq,IRQ,2012,4
Iraq,IRQ,2014,4
Ireland,IRL,2007,4
Ireland,IRL,2010,4
Ireland,IRL,2012,4
Ireland,IRL,2014,4
Israel,ISR,2007,2
Israel,ISR,2010,2
Israel,ISR,2012,2
Israel,ISR,2014,2
Italy,ITA,2007,4
Italy,ITA,2010,4
Italy,ITA,2012,4
Italy,ITA,2014,4
Jamaica,JAM,2007,2
Jamaica,JAM,2010,2
Jamaica,JAM,2012,2
Jamaica,JAM,2014,2
Japan,JPN,2007,2
Japan,JPN,2010,2
Japan,JPN,2012,2
Japan,JPN,2014,2
Jordan,JOR,2007,4
Jordan,JOR,2010,4
Jordan,JOR,2012,4
Jordan,JOR,2014,4
Kazakhstan,KAZ,2007,4
Kazakhstan,KAZ,2010,4
Kazakhstan,KAZ,2012,4
Kazakhstan,KAZ,2014,4
Kenya,KEN,2007,5
Kenya,KEN,2010,5
Kenya,KEN,2012,5
Kenya,KEN,2014,5
Kiribati,KIR,2007,2
Kiribati,KIR,2010,2
Kiribati,KIR,2012,2
Kiribati,KIR,2014,5
Kuwait,KWT,2007,4
Kuwait,KWT,2010,4
Kuwait,KWT,2012,4
Kuwait,KWT,2014,4
Kyrgyzstan,KGZ,2007,2
Kyrgyzstan,KGZ,2010,4
Kyrgyzstan,KGZ,2012,4
Kyrgyzstan,KGZ,2014,4
Laos,LAO,2007,4
Laos,LAO,2010,4
Laos,LAO,2012,4
Laos,LAO,2014,4
Latvia,LVA,2007,4
Latvia,LVA,2010,4
Latvia,LVA,2012,4
Latvia,LVA,2014,4
Lebanon,LBN,2007,2
Lebanon,LBN,2010,2
Lebanon,LBN,2012,4
Lebanon,LBN,2014,4
Lesotho,LSO,2007,2
Lesotho,LSO,2010,2
Lesotho,LSO,2012,2
Lesotho,LSO,2014,2
Liberia,LBR,2007,2
Liberia,LBR,2010,2
Liberia,LBR,2012,2
Liberia,LBR,2014,2
Libya,LBY,2007,4
Libya,LBY,2010,5
Libya,LBY,2012,5
Libya,LBY,2014,5
Lithuania,LTU,2007,4
Lithuania,LTU,2010,4
Lithuania,LTU,2012,4
Lithuania,LTU,2014,4
Luxembourg,LUX,2007,4
Luxembourg,LUX,2010,4
Luxembourg,LUX,2012,4
Luxembourg,LUX,2014,4
Macedonia,MKD,2007,4
Macedonia,MKD,2010,4
Macedonia,MKD,2012,4
Macedonia,MKD,2014,4
Madagascar,MDG,2007,5
Madagascar,MDG,2010,5
Madagascar,MDG,2012,5
Madagascar,MDG,2014,5
Malawi,MWI,2007,2
Malawi,MWI,2010,2
Malawi,MWI,2012,2
Malawi,MWI,2014,2
Malaysia,MYS,2007,4
Malaysia,MYS,2010,4
Malaysia,MYS,2012,4
Malaysia,MYS,2014,4
Maldives,MDV,2007,4
Maldives,MDV,2010,5
Maldives,MDV,2012,5
Maldives,MDV,2014,5
Mali,MLI,2007,2
Mali,MLI,2010,5
Mali,MLI,2012,4
Mali,MLI,2014,4
Malta,MLT,2007,4
Malta,MLT,2010,4
Malta,MLT,2012,4
Malta,MLT,2014,4
Marshall Islands,MHL,2007,2
Marshall Islands,MHL,2010,2
Marshall Islands,MHL,2012,2
Marshall Islands,MHL,2014,2
Mauritania,MRT,2007,2
Mauritania,MRT,2010,2
Mauritania,MRT,2012,2
Mauritania,MRT,2014,2
Mauritius,MUS,2007,4
Mauritius,MUS,2010,5
Mauritius,MUS,2012,5
Mauritius,MUS,2014,5
Mexico,MEX,2007,2
Mexico,MEX,2010,2
Mexico,MEX,2012,2
Mexico,MEX,2014,2
Micronesia (country),FSM,2007,2
Micronesia (country),FSM,2010,2
Micronesia (country),FSM,2012,2
Micronesia (country),FSM,2014,2
Moldova,MDA,2007,4
Moldova,MDA,2010,4
Moldova,MDA,2012,4
Moldova,MDA,2014,4
Monaco,MCO,2007,2
Monaco,MCO,2010,2
Monaco,MCO,2012,2
Monaco,MCO,2014,2
Mongolia,MNG,2007,4
Mongolia,MNG,2010,4
Mongolia,MNG,2012,4
Mongolia,MNG,2014,4
Montenegro,MNE,2007,4
Montenegro,MNE,2010,4
Montenegro,MNE,2012,4
Montenegro,MNE,2014,4
Morocco,MAR,2007,4
Morocco,MAR,2010,4
Morocco,MAR,2012,4
Morocco,MAR,2014,4
Mozambique,MOZ,2007,4
Mozambique,MOZ,2010,4
Mozambique,MOZ,2012,4
Mozambique,MOZ,2014,4
Myanmar,MMR,2007,4
Myanmar,MMR,2010,4
Myanmar,MMR,2012,4
Myanmar,MMR,2014,4
Namibia,NAM,2007,2
Namibia,NAM,2010,4
Namibia,NAM,2012,4
Namibia,NAM,2014,4
Nauru,NRU,2007,2
Nauru,NRU,2010,4
Nauru,NRU,2012,4
Nauru,NRU,2014,4
Nepal,NPL,2007,2
Nepal,NPL,2010,4
Nepal,NPL,2012,4
Nepal,NPL,2014,5
Netherlands,NLD,2007,4
Netherlands,NLD,2010,4
Netherlands,NLD,2012,4
Netherlands,NLD,2014,4
New Zealand,NZL,2007,4
New Zealand,NZL,2010,4
New Zealand,NZL,2012,4
New Zealand,NZL,2014,4
Nicaragua,NIC,2007,2
Nicaragua,NIC,2010,2
Nicaragua,NIC,2012,2
Nicaragua,NIC,2014,2
Niger,NER,2007,5
Niger,NER,2010,5
Niger,NER,2012,5
Niger,NER,2014,5
Nigeria,NGA,2007,2
Nigeria,NGA,2010,2
Nigeria,NGA,2012,2
Nigeria,NGA,2014,2
Niue,NIU,2007,2
Niue,NIU,2010,2
Niue,NIU,2012,2
Niue,NIU,2014,2
North Korea,PRK,2007,2
North Korea,PRK,2010,2
North Korea,PRK,2012,2
North Korea,PRK,2014,2
Norway,NOR,2007,4
Norway,NOR,2010,4
Norway,NOR,2012,4
Norway,NOR,2014,4
Oman,OMN,2007,2
Oman,OMN,2010,2
Oman,OMN,2012,2
Oman,OMN,2014,2
Pakistan,PAK,2007,2
Pakistan,PAK,2010,2
Pakistan,PAK,2012,2
Pakistan,PAK,2014,4
Palau,PLW,2007,2
Palau,PLW,2010,2
Palau,PLW,2012,4
Palau,PLW,2014,4
Panama,PAN,2007,2
Panama,PAN,2010,5
Panama,PAN,2012,5
Panama,PAN,2014,5
Papua New Guinea,PNG,2007,4
Papua New Guinea,PNG,2010,4
Papua New Guinea,PNG,2012,4
Papua New Guinea,PNG,2014,4
Paraguay,PRY,2007,2
Paraguay,PRY,2010,2
Paraguay,PRY,2012,2
Paraguay,PRY,2014,2
Peru,PER,2007,2
Peru,PER,2010,2
Peru,PER,2012,2
Peru,PER,2014,2
Philippines,PHL,2007,2
Philippines,PHL,2010,4
Philippines,PHL,2012,4
Philippines,PHL,2014,4
Poland,POL,2007,4
Poland,POL,2010,4
Poland,POL,2012,4
Poland,POL,2014,4
Portugal,PRT,2007,4
Portugal,PRT,2010,4
Portugal,PRT,2012,4
Portugal,PRT,2014,4
Qatar,QAT,2007,4
Qatar,QAT,2010,4
Qatar,QAT,2012,4
Qatar,QAT,2014,4
Romania,ROU,2007,4
Romania,ROU,2010,4
Romania,ROU,2012,4
Romania,ROU,2014,4
Russia,RUS,2007,2
Russia,RUS,2010,2
Russia,RUS,2012,2
Russia,RUS,2014,5
Rwanda,RWA,2007,2
Rwanda,RWA,2010,2
Rwanda,RWA,2012,2
Rwanda,RWA,2014,2
Saint Kitts and Nevis,KNA,2007,2
Saint Kitts and Nevis,KNA,2010,2
Saint Kitts and Nevis,KNA,2012,2
Saint Kitts and Nevis,KNA,2014,2
Saint Lucia,LCA,2007,2
Saint Lucia,LCA,2010,2
Saint Lucia,LCA,2012,2
Saint Lucia,LCA,2014,2
Saint Vincent and the Grenadines,VCT,2007,2
Saint Vincent and the Grenadines,VCT,2010,2
Saint Vincent and the Grenadines,VCT,2012,2
Saint Vincent and the Grenadines,VCT,2014,2
Samoa,WSM,2007,2
Samoa,WSM,2010,4
Samoa,WSM,2012,4
Samoa,WSM,2014,4
San Marino,SMR,2007,2
San Marino,SMR,2010,4
San Marino,SMR,2012,4
San Marino,SMR,2014,4
Sao Tome and Principe,STP,2007,2
Sao Tome and Principe,STP,2010,2
Sao Tome and Principe,STP,2012,2
Sao Tome and Principe,STP,2014,2
Saudi Arabia,SAU,2007,2
Saudi Arabia,SAU,2010,2
Saudi Arabia,SAU,2012,2
Saudi Arabia,SAU,2014,2
Senegal,SEN,2007,2
Senegal,SEN,2010,2
Senegal,SEN,2012,2
Senegal,SEN,2014,4
Serbia,SRB,2007,4
Serbia,SRB,2010,4
Serbia,SRB,2012,4
Serbia,SRB,2014,4
Seychelles,SYC,2007,2
Seychelles,SYC,2010,4
Seychelles,SYC,2012,4
Seychelles,SYC,2014,4
Sierra Leone,SLE,2007,2
Sierra Leone,SLE,2010,2
Sierra Leone,SLE,2012,2
Sierra Leone,SLE,2014,2
Singapore,SGP,2007,4
Singapore,SGP,2010,4
Singapore,SGP,2012,4
Singapore,SGP,2014,4
Slovakia,SVK,2007,4
Slovakia,SVK,2010,4
Slovakia,SVK,2012,4
Slovakia,SVK,2014,4
Slovenia,SVN,2007,4
Slovenia,SVN,2010,4
Slovenia,SVN,2012,4
Slovenia,SVN,2014,4
Solomon Islands,SLB,2007,2
Solomon Islands,SLB,2010,4
Solomon Islands,SLB,2012,4
Solomon Islands,SLB,2014,4
Somalia,SOM,2007,2
Somalia,SOM,2010,2
Somalia,SOM,2012,2
Somalia,SOM,2014,2
South Africa,ZAF,2007,4
South Africa,ZAF,2010,4
South Africa,ZAF,2012,4
South Africa,ZAF,2014,4
South Korea,KOR,2007,2
South Korea,KOR,2010,2
South Korea,KOR,2012,2
South Korea,KOR,2014,2
South Sudan,SSD,2012,2
South Sudan,SSD,2014,2
Spain,ESP,2007,4
Spain,ESP,2010,5
Spain,ESP,2012,5
Spain,ESP,2014,5
Sri Lanka,LKA,2007,4
Sri Lanka,LKA,2010,4
Sri Lanka,LKA,2012,4
Sri Lanka,LKA,2014,4
Sudan,SDN,2007,4
Sudan,SDN,2010,4
Sudan,SDN,2012,4
Sudan,SDN,2014,4
Suriname,SUR,2007,2
Suriname,SUR,2010,2
Suriname,SUR,2012,2
Suriname,SUR,2014,5
Swaziland,SWZ,2007,2
Swaziland,SWZ,2010,2
Swaziland,SWZ,2012,2
Swaziland,SWZ,2014,4
Sweden,SWE,2007,4
Sweden,SWE,2010,4
Sweden,SWE,2012,4
Sweden,SWE,2014,4
Switzerland,CHE,2007,2
Switzerland,CHE,2010,2
Switzerland,CHE,2012,2
Switzerland,CHE,2014,2
Syria,SYR,2007,4
Syria,SYR,2010,4
Syria,SYR,2012,4
Syria,SYR,2014,4
Tajikistan,TJK,2007,4
Tajikistan,TJK,2010,4
Tajikistan,TJK,2012,4
Tajikistan,TJK,2014,4
Tanzania,TZA,2007,4
Tanzania,TZA,2010,4
Tanzania,TZA,2012,4
Tanzania,TZA,2014,4
Thailand,THA,2007,4
Thailand,THA,2010,4
Thailand,THA,2012,4
Thailand,THA,2014,4
Timor,TLS,2007,2
Timor,TLS,2010,2
Timor,TLS,2012,2
Timor,TLS,2014,2
Togo,TGO,2007,2
Togo,TGO,2010,2
Togo,TGO,2012,5
Togo,TGO,2014,5
Tonga,TON,2007,4
Tonga,TON,2010,4
Tonga,TON,2012,4
Tonga,TON,2014,4
Trinidad and Tobago,TTO,2007,2
Trinidad and Tobago,TTO,2010,2
Trinidad and Tobago,TTO,2012,2
Trinidad and Tobago,TTO,2014,2
Tunisia,TUN,2007,4
Tunisia,TUN,2010,4
Tunisia,TUN,2012,4
Tunisia,TUN,2014,4
Turkey,TUR,2007,2
Turkey,TUR,2010,4
Turkey,TUR,2012,5
Turkey,TUR,2014,5
Turkmenistan,TKM,2007,2
Turkmenistan,TKM,2010,2
Turkmenistan,TKM,2012,2
Turkmenistan,TKM,2014,4
Tuvalu,TUV,2007,2
Tuvalu,TUV,2010,5
Tuvalu,TUV,2012,5
Tuvalu,TUV,2014,5
Uganda,UGA,2007,2
Uganda,UGA,2010,2
Uganda,UGA,2012,2
Uganda,UGA,2014,2
Ukraine,UKR,2007,2
Ukraine,UKR,2010,4
Ukraine,UKR,2012,4
Ukraine,UKR,2014,4
United Arab Emirates,ARE,2007,4
United Arab Emirates,ARE,2010,4
United Arab Emirates,ARE,2012,4
United Arab Emirates,ARE,2014,5
United Kingdom,GBR,2007,4
United Kingdom,GBR,2010,4
United Kingdom,GBR,2012,4
United Kingdom,GBR,2014,4
United States,USA,2007,2
United States,USA,2010,2
United States,USA,2012,2
United States,USA,2014,2
Uruguay,URY,2007,2
Uruguay,URY,2010,4
Uruguay,URY,2012,4
Uruguay,URY,2014,5
Uzbekistan,UZB,2007,2
Uzbekistan,UZB,2010,2
Uzbekistan,UZB,2012,4
Uzbekistan,UZB,2014,4
Vanuatu,VUT,2007,2
Vanuatu,VUT,2010,5
Vanuatu,VUT,2012,5
Vanuatu,VUT,2014,5
Venezuela,VEN,2007,2
Venezuela,VEN,2010,2
Venezuela,VEN,2012,2
Venezuela,VEN,2014,2
Vietnam,VNM,2007,4
Vietnam,VNM,2010,4
Vietnam,VNM,2012,4
Vietnam,VNM,2014,4
Yemen,YEM,2007,4
Yemen,YEM,2010,4
Yemen,YEM,2012,4
Yemen,YEM,2014,5
Zambia,ZMB,2007,2
Zambia,ZMB,2010,2
Zambia,ZMB,2012,2
Zambia,ZMB,2014,2
Zimbabwe,ZWE,2007,2
Zimbabwe,ZWE,2010,2
Zimbabwe,ZWE,2012,2
Zimbabwe,ZWE,2014,2
