Entity,Code,Year,"Number of daily smokers - both (IHME, GHDx (2012))"
Suriname,SUR,1984,14841
Suriname,SUR,1985,15206
Suriname,SUR,1986,15592
Suriname,SUR,1987,16019
Suriname,SUR,1988,16418
Suriname,SUR,1989,16800
Suriname,SUR,1990,17236
Suriname,SUR,1991,17627
Suriname,SUR,1992,18029
Suriname,SUR,1993,18481
Suriname,SUR,1994,18891
Suriname,SUR,1995,19282
Suriname,SUR,1996,19608
Suriname,SUR,1997,19798
Suriname,SUR,1998,19979
Suriname,SUR,1999,20272
Suriname,SUR,2000,20609
Suriname,SUR,2001,20978
Suriname,SUR,2002,21333
Suriname,SUR,2003,21660
Suriname,SUR,2004,21966
Suriname,SUR,2005,22216
Suriname,SUR,2006,22460
Suriname,SUR,2007,22676
Suriname,SUR,2008,22880
Suriname,SUR,2009,23093
Suriname,SUR,2010,23289
Suriname,SUR,2011,23469
Suriname,SUR,2012,23631
Swaziland,SWZ,1980,18771
Swaziland,SWZ,1981,19200
Swaziland,SWZ,1982,19624
Swaziland,SWZ,1983,20090
Swaziland,SWZ,1984,20645
Swaziland,SWZ,1985,21306
Swaziland,SWZ,1986,22107
Swaziland,SWZ,1987,23040
Swaziland,SWZ,1988,24046
Swaziland,SWZ,1989,25072
Swaziland,SWZ,1990,26062
Swaziland,SWZ,1991,26995
Swaziland,SWZ,1992,27890
Swaziland,SWZ,1993,28774
Swaziland,SWZ,1994,29673
Swaziland,SWZ,1995,30622
Swaziland,SWZ,1996,31645
Swaziland,SWZ,1997,32656
Swaziland,SWZ,1998,33694
Swaziland,SWZ,1999,34667
Swaziland,SWZ,2000,35562
Swaziland,SWZ,2001,36356
Swaziland,SWZ,2002,37113
Swaziland,SWZ,2003,38014
Swaziland,SWZ,2004,39201
Swaziland,SWZ,2005,40763
Swaziland,SWZ,2006,42623
Swaziland,SWZ,2007,44724
Swaziland,SWZ,2008,46879
Swaziland,SWZ,2009,49074
Swaziland,SWZ,2010,51298
Swaziland,SWZ,2011,53451
Swaziland,SWZ,2012,55510
Sweden,SWE,1980,1852265
Sweden,SWE,1981,1815367
Sweden,SWE,1982,1784557
Sweden,SWE,1983,1762279
Sweden,SWE,1984,1756288
Sweden,SWE,1985,1759785
Sweden,SWE,1986,1766547
Sweden,SWE,1987,1767414
Sweden,SWE,1988,1765884
Sweden,SWE,1989,1760880
Sweden,SWE,1990,1752794
Sweden,SWE,1991,1735991
Sweden,SWE,1992,1713185
Sweden,SWE,1993,1679788
Sweden,SWE,1994,1643800
Sweden,SWE,1995,1599264
Sweden,SWE,1996,1544887
Sweden,SWE,1997,1485756
Sweden,SWE,1998,1434473
Sweden,SWE,1999,1389968
Sweden,SWE,2000,1343329
Sweden,SWE,2001,1290626
Sweden,SWE,2002,1229377
Sweden,SWE,2003,1154969
Sweden,SWE,2004,1082624
Sweden,SWE,2005,1024559
Sweden,SWE,2006,987405
Sweden,SWE,2007,970927
Sweden,SWE,2008,969294
Sweden,SWE,2009,987301
Sweden,SWE,2010,1012936
Sweden,SWE,2011,1042500
Sweden,SWE,2012,1074390
Switzerland,CHE,1980,1402529
Switzerland,CHE,1981,1407909
Switzerland,CHE,1982,1419807
Switzerland,CHE,1983,1431835
Switzerland,CHE,1984,1439057
Switzerland,CHE,1985,1444237
Switzerland,CHE,1986,1455449
Switzerland,CHE,1987,1481925
Switzerland,CHE,1988,1510125
Switzerland,CHE,1989,1534464
Switzerland,CHE,1990,1556392
Switzerland,CHE,1991,1589653
Switzerland,CHE,1992,1623806
Switzerland,CHE,1993,1663377
Switzerland,CHE,1994,1701003
Switzerland,CHE,1995,1741567
Switzerland,CHE,1996,1780438
Switzerland,CHE,1997,1792489
Switzerland,CHE,1998,1781056
Switzerland,CHE,1999,1738832
Switzerland,CHE,2000,1662220
Switzerland,CHE,2001,1581231
Switzerland,CHE,2002,1512234
Switzerland,CHE,2003,1443728
Switzerland,CHE,2004,1383123
Switzerland,CHE,2005,1332199
Switzerland,CHE,2006,1293483
Switzerland,CHE,2007,1267985
Switzerland,CHE,2008,1267596
Switzerland,CHE,2009,1281332
Switzerland,CHE,2010,1299129
Switzerland,CHE,2011,1320853
Switzerland,CHE,2012,1338689
Syria,SYR,1980,844639
Syria,SYR,1981,859269
Syria,SYR,1982,876688
Syria,SYR,1983,897321
Syria,SYR,1984,922470
Syria,SYR,1985,948028
Syria,SYR,1986,976831
Syria,SYR,1987,1007243
Syria,SYR,1988,1037950
Syria,SYR,1989,1075835
Syria,SYR,1990,1115567
Syria,SYR,1991,1157840
Syria,SYR,1992,1199949
Syria,SYR,1993,1243984
Syria,SYR,1994,1288645
Syria,SYR,1995,1335726
Syria,SYR,1996,1386480
Syria,SYR,1997,1439413
Syria,SYR,1998,1492190
Syria,SYR,1999,1547239
Syria,SYR,2000,1601373
Syria,SYR,2001,1651061
Syria,SYR,2002,1695452
Syria,SYR,2003,1743768
Syria,SYR,2004,1802171
Syria,SYR,2005,1876313
Syria,SYR,2006,1971390
Syria,SYR,2007,2084596
Syria,SYR,2008,2202294
Syria,SYR,2009,2302910
Syria,SYR,2010,2374902
Syria,SYR,2011,2413139
Syria,SYR,2012,2421878
Taiwan,TWN,1980,2592502
Taiwan,TWN,1981,2677512
Taiwan,TWN,1982,2751881
Taiwan,TWN,1983,2825924
Taiwan,TWN,1984,2902083
Taiwan,TWN,1985,2979633
Taiwan,TWN,1986,3057390
Taiwan,TWN,1987,3132882
Taiwan,TWN,1988,3207724
Taiwan,TWN,1989,3283864
Taiwan,TWN,1990,3362506
Taiwan,TWN,1991,3436128
Taiwan,TWN,1992,3523940
Taiwan,TWN,1993,3600096
Taiwan,TWN,1994,3676796
Taiwan,TWN,1995,3750857
Taiwan,TWN,1996,3821814
Taiwan,TWN,1997,3831606
Taiwan,TWN,1998,3841624
Taiwan,TWN,1999,3847800
Taiwan,TWN,2000,3842643
Taiwan,TWN,2001,3852980
Taiwan,TWN,2002,3817129
Taiwan,TWN,2003,3750254
Taiwan,TWN,2004,3682198
Taiwan,TWN,2005,3612482
Taiwan,TWN,2006,3549189
Taiwan,TWN,2007,3492859
Taiwan,TWN,2008,3448243
Taiwan,TWN,2009,3413719
Taiwan,TWN,2010,3404433
Taiwan,TWN,2011,3410785
Taiwan,TWN,2012,3428743
Tajikistan,TJK,1980,401553
Tajikistan,TJK,1981,424637
Tajikistan,TJK,1982,449854
Tajikistan,TJK,1983,477269
Tajikistan,TJK,1984,506188
Tajikistan,TJK,1985,536088
Tajikistan,TJK,1986,567523
Tajikistan,TJK,1987,598588
Tajikistan,TJK,1988,631413
Tajikistan,TJK,1989,661100
Tajikistan,TJK,1990,686013
Tajikistan,TJK,1991,701303
Tajikistan,TJK,1992,694711
Tajikistan,TJK,1993,679693
Tajikistan,TJK,1994,656379
Tajikistan,TJK,1995,630611
Tajikistan,TJK,1996,604628
Tajikistan,TJK,1997,587493
Tajikistan,TJK,1998,575137
Tajikistan,TJK,1999,568889
Tajikistan,TJK,2000,569906
Tajikistan,TJK,2001,577885
Tajikistan,TJK,2002,591613
Tajikistan,TJK,2003,609559
Tajikistan,TJK,2004,629792
Tajikistan,TJK,2005,651289
Tajikistan,TJK,2006,672305
Tajikistan,TJK,2007,694724
Tajikistan,TJK,2008,717743
Tajikistan,TJK,2009,740692
Tajikistan,TJK,2010,763064
Tajikistan,TJK,2011,784496
Tajikistan,TJK,2012,805645
Tanzania,TZA,1980,1162570
Tanzania,TZA,1981,1199257
Tanzania,TZA,1982,1237670
Tanzania,TZA,1983,1277639
Tanzania,TZA,1984,1319137
Tanzania,TZA,1985,1361310
Tanzania,TZA,1986,1403595
Tanzania,TZA,1987,1446499
Tanzania,TZA,1988,1490364
Tanzania,TZA,1989,1537706
Tanzania,TZA,1990,1588123
Tanzania,TZA,1991,1643552
Tanzania,TZA,1992,1703584
Tanzania,TZA,1993,1766143
Tanzania,TZA,1994,1829334
Tanzania,TZA,1995,1891272
Tanzania,TZA,1996,1951449
Tanzania,TZA,1997,1972747
Tanzania,TZA,1998,1994960
Tanzania,TZA,1999,2023538
Tanzania,TZA,2000,2058905
Tanzania,TZA,2001,2098619
Tanzania,TZA,2002,2140603
Tanzania,TZA,2003,2183632
Tanzania,TZA,2004,2225456
Tanzania,TZA,2005,2264998
Tanzania,TZA,2006,2283983
Tanzania,TZA,2007,2302282
Tanzania,TZA,2008,2321445
Tanzania,TZA,2009,2342575
Tanzania,TZA,2010,2366848
Tanzania,TZA,2011,2397628
Tanzania,TZA,2012,2439218
Thailand,THA,1980,7217641
Thailand,THA,1981,7444219
Thailand,THA,1982,7677453
Thailand,THA,1983,7919565
Thailand,THA,1984,8174321
Thailand,THA,1985,8445905
Thailand,THA,1986,8734347
Thailand,THA,1987,9037179
Thailand,THA,1988,9342881
Thailand,THA,1989,9615813
Thailand,THA,1990,9860394
Thailand,THA,1991,10076990
Thailand,THA,1992,10268617
Thailand,THA,1993,10443847
Thailand,THA,1994,10598647
Thailand,THA,1995,10755519
Thailand,THA,1996,10907236
Thailand,THA,1997,10826059
Thailand,THA,1998,10752212
Thailand,THA,1999,10677515
Thailand,THA,2000,10566834
Thailand,THA,2001,10446435
Thailand,THA,2002,10246600
Thailand,THA,2003,10061158
Thailand,THA,2004,9993371
Thailand,THA,2005,9967910
Thailand,THA,2006,9995370
Thailand,THA,2007,10060559
Thailand,THA,2008,10185335
Thailand,THA,2009,10320763
Thailand,THA,2010,10462808
Thailand,THA,2011,10593538
Thailand,THA,2012,10739255
Timor,TLS,1980,108929
Timor,TLS,1981,109486
Timor,TLS,1982,111984
Timor,TLS,1983,115858
Timor,TLS,1984,120251
Timor,TLS,1985,124493
Timor,TLS,1986,128289
Timor,TLS,1987,131825
Timor,TLS,1988,135400
Timor,TLS,1989,139492
Timor,TLS,1990,144322
Timor,TLS,1991,150324
Timor,TLS,1992,157102
Timor,TLS,1993,163304
Timor,TLS,1994,166973
Timor,TLS,1995,167030
Timor,TLS,1996,162728
Timor,TLS,1997,155044
Timor,TLS,1998,145820
Timor,TLS,1999,138096
Timor,TLS,2000,134280
Timor,TLS,2001,135203
Timor,TLS,2002,140048
Timor,TLS,2003,147235
Timor,TLS,2004,154451
Timor,TLS,2005,159982
Timor,TLS,2006,163384
Timor,TLS,2007,165353
Timor,TLS,2008,166547
Timor,TLS,2009,168047
Timor,TLS,2010,171292
Timor,TLS,2011,174945
Timor,TLS,2012,179232
Togo,TGO,1980,103864
Togo,TGO,1981,106816
Togo,TGO,1982,109954
Togo,TGO,1983,113227
Togo,TGO,1984,116658
Togo,TGO,1985,120050
Togo,TGO,1986,123379
Togo,TGO,1987,126535
Togo,TGO,1988,129681
Togo,TGO,1989,132742
Togo,TGO,1990,135586
Togo,TGO,1991,138021
Togo,TGO,1992,140003
Togo,TGO,1993,141371
Togo,TGO,1994,143174
Togo,TGO,1995,145465
Togo,TGO,1996,148434
Togo,TGO,1997,151741
Togo,TGO,1998,155441
Togo,TGO,1999,159484
Togo,TGO,2000,163746
Togo,TGO,2001,168262
Togo,TGO,2002,173004
Togo,TGO,2003,178139
Togo,TGO,2004,183472
Togo,TGO,2005,189039
Togo,TGO,2006,194989
Togo,TGO,2007,201298
Togo,TGO,2008,208003
Togo,TGO,2009,214949
Togo,TGO,2010,222273
Togo,TGO,2011,229939
Togo,TGO,2012,237982
Tonga,TON,1980,17422
Tonga,TON,1981,17493
Tonga,TON,1982,17434
Tonga,TON,1983,17324
Tonga,TON,1984,17227
Tonga,TON,1985,17214
Tonga,TON,1986,17303
Tonga,TON,1987,17477
Tonga,TON,1988,17700
Tonga,TON,1989,17905
Tonga,TON,1990,18057
Tonga,TON,1991,18132
Tonga,TON,1992,18145
Tonga,TON,1993,18125
Tonga,TON,1994,18110
Tonga,TON,1995,18139
Tonga,TON,1996,18221
Tonga,TON,1997,18360
Tonga,TON,1998,18604
Tonga,TON,1999,18900
Tonga,TON,2000,19226
Tonga,TON,2001,19572
Tonga,TON,2002,19940
Tonga,TON,2003,20358
Tonga,TON,2004,20821
Tonga,TON,2005,21733
Tonga,TON,2006,22601
Tonga,TON,2007,22707
Tonga,TON,2008,22656
Tonga,TON,2009,22512
Tonga,TON,2010,22328
Tonga,TON,2011,22168
Tonga,TON,2012,22029
Trinidad and Tobago,TTO,1980,153215
Trinidad and Tobago,TTO,1981,149013
Trinidad and Tobago,TTO,1982,145850
Trinidad and Tobago,TTO,1983,145139
Trinidad and Tobago,TTO,1984,145470
Trinidad and Tobago,TTO,1985,146390
Trinidad and Tobago,TTO,1986,147877
Trinidad and Tobago,TTO,1987,149671
Trinidad and Tobago,TTO,1988,151782
Trinidad and Tobago,TTO,1989,153945
Trinidad and Tobago,TTO,1990,155923
Trinidad and Tobago,TTO,1991,157496
Trinidad and Tobago,TTO,1992,159286
Trinidad and Tobago,TTO,1993,161193
Trinidad and Tobago,TTO,1994,162265
Trinidad and Tobago,TTO,1995,162937
Trinidad and Tobago,TTO,1996,163640
Trinidad and Tobago,TTO,1997,163815
Trinidad and Tobago,TTO,1998,164200
Trinidad and Tobago,TTO,1999,165110
Trinidad and Tobago,TTO,2000,165829
Trinidad and Tobago,TTO,2001,167749
Trinidad and Tobago,TTO,2002,170400
Trinidad and Tobago,TTO,2003,171385
Trinidad and Tobago,TTO,2004,172616
Trinidad and Tobago,TTO,2005,173923
Trinidad and Tobago,TTO,2006,175011
Trinidad and Tobago,TTO,2007,176016
Trinidad and Tobago,TTO,2008,176833
Trinidad and Tobago,TTO,2009,178861
Trinidad and Tobago,TTO,2010,181116
Trinidad and Tobago,TTO,2011,183768
Trinidad and Tobago,TTO,2012,186373
Tunisia,TUN,1980,753532
Tunisia,TUN,1981,783468
Tunisia,TUN,1982,814461
Tunisia,TUN,1983,846781
Tunisia,TUN,1984,880837
Tunisia,TUN,1985,916326
Tunisia,TUN,1986,953124
Tunisia,TUN,1987,991066
Tunisia,TUN,1988,1030225
Tunisia,TUN,1989,1069698
Tunisia,TUN,1990,1109519
Tunisia,TUN,1991,1149968
Tunisia,TUN,1992,1190529
Tunisia,TUN,1993,1230776
Tunisia,TUN,1994,1270912
Tunisia,TUN,1995,1311560
Tunisia,TUN,1996,1353573
Tunisia,TUN,1997,1418231
Tunisia,TUN,1998,1482376
Tunisia,TUN,1999,1544802
Tunisia,TUN,2000,1604412
Tunisia,TUN,2001,1660501
Tunisia,TUN,2002,1698381
Tunisia,TUN,2003,1732237
Tunisia,TUN,2004,1763356
Tunisia,TUN,2005,1793654
Tunisia,TUN,2006,1825384
Tunisia,TUN,2007,1859882
Tunisia,TUN,2008,1897877
Tunisia,TUN,2009,1936727
Tunisia,TUN,2010,1975510
Tunisia,TUN,2011,2014204
Tunisia,TUN,2012,2044971
Turkey,TUR,1980,7361652
Turkey,TUR,1981,7530174
Turkey,TUR,1982,7724021
Turkey,TUR,1983,7933455
Turkey,TUR,1984,8154330
Turkey,TUR,1985,8383193
Turkey,TUR,1986,8609212
Turkey,TUR,1987,8809151
Turkey,TUR,1988,9031926
Turkey,TUR,1989,9279599
Turkey,TUR,1990,9503417
Turkey,TUR,1991,9762243
Turkey,TUR,1992,10023248
Turkey,TUR,1993,10272046
Turkey,TUR,1994,10622074
Turkey,TUR,1995,10969689
Turkey,TUR,1996,11318618
Turkey,TUR,1997,11735152
Turkey,TUR,1998,12125543
Turkey,TUR,1999,12539167
Turkey,TUR,2000,12906404
Turkey,TUR,2001,13342447
Turkey,TUR,2002,13751443
Turkey,TUR,2003,14134125
Turkey,TUR,2004,14565113
Turkey,TUR,2005,14845480
Turkey,TUR,2006,14868187
Turkey,TUR,2007,14798100
Turkey,TUR,2008,14703598
Turkey,TUR,2009,14712965
Turkey,TUR,2010,14566323
Turkey,TUR,2011,14497414
Turkey,TUR,2012,14488774
Turkmenistan,TKM,1980,342522
Turkmenistan,TKM,1981,352891
Turkmenistan,TKM,1982,363280
Turkmenistan,TKM,1983,373463
Turkmenistan,TKM,1984,383555
Turkmenistan,TKM,1985,393568
Turkmenistan,TKM,1986,402932
Turkmenistan,TKM,1987,412271
Turkmenistan,TKM,1988,421399
Turkmenistan,TKM,1989,431700
Turkmenistan,TKM,1990,442124
Turkmenistan,TKM,1991,455003
Turkmenistan,TKM,1992,471999
Turkmenistan,TKM,1993,489569
Turkmenistan,TKM,1994,511343
Turkmenistan,TKM,1995,535471
Turkmenistan,TKM,1996,558345
Turkmenistan,TKM,1997,586459
Turkmenistan,TKM,1998,612944
Turkmenistan,TKM,1999,634172
Turkmenistan,TKM,2000,650449
Turkmenistan,TKM,2001,662382
Turkmenistan,TKM,2002,671740
Turkmenistan,TKM,2003,679065
Turkmenistan,TKM,2004,684648
Turkmenistan,TKM,2005,687678
Turkmenistan,TKM,2006,690763
Turkmenistan,TKM,2007,693970
Turkmenistan,TKM,2008,696885
Turkmenistan,TKM,2009,701849
Turkmenistan,TKM,2010,707148
Turkmenistan,TKM,2011,712926
Turkmenistan,TKM,2012,720159
Uganda,UGA,1980,809573
Uganda,UGA,1981,835945
Uganda,UGA,1982,863501
Uganda,UGA,1983,892346
Uganda,UGA,1984,923643
Uganda,UGA,1985,958012
Uganda,UGA,1986,995173
Uganda,UGA,1987,1034765
Uganda,UGA,1988,1075688
Uganda,UGA,1989,1117717
Uganda,UGA,1990,1160171
Uganda,UGA,1991,1203184
Uganda,UGA,1992,1246621
Uganda,UGA,1993,1289812
Uganda,UGA,1994,1332144
Uganda,UGA,1995,1374266
Uganda,UGA,1996,1416122
Uganda,UGA,1997,1430961
Uganda,UGA,1998,1445032
Uganda,UGA,1999,1459210
Uganda,UGA,2000,1474554
Uganda,UGA,2001,1489679
Uganda,UGA,2002,1472066
Uganda,UGA,2003,1454667
Uganda,UGA,2004,1440664
Uganda,UGA,2005,1429189
Uganda,UGA,2006,1421636
Uganda,UGA,2007,1413457
Uganda,UGA,2008,1404573
Uganda,UGA,2009,1398794
Uganda,UGA,2010,1399248
Uganda,UGA,2011,1409740
Uganda,UGA,2012,1456756
Ukraine,UKR,1980,12415648
Ukraine,UKR,1981,12449443
Ukraine,UKR,1982,12471873
Ukraine,UKR,1983,12478838
Ukraine,UKR,1984,12469770
Ukraine,UKR,1985,12446918
Ukraine,UKR,1986,12425245
Ukraine,UKR,1987,12406218
Ukraine,UKR,1988,12385568
Ukraine,UKR,1989,12363752
Ukraine,UKR,1990,12346844
Ukraine,UKR,1991,12340879
Ukraine,UKR,1992,12354007
Ukraine,UKR,1993,12345333
Ukraine,UKR,1994,12284476
Ukraine,UKR,1995,12213444
Ukraine,UKR,1996,12114227
Ukraine,UKR,1997,12034684
Ukraine,UKR,1998,12012517
Ukraine,UKR,1999,12047812
Ukraine,UKR,2000,12124597
Ukraine,UKR,2001,12307585
Ukraine,UKR,2002,12470746
Ukraine,UKR,2003,12493235
Ukraine,UKR,2004,12573594
Ukraine,UKR,2005,12524440
Ukraine,UKR,2006,12131522
Ukraine,UKR,2007,11642168
Ukraine,UKR,2008,11188894
Ukraine,UKR,2009,10795382
Ukraine,UKR,2010,10565737
Ukraine,UKR,2011,10485257
Ukraine,UKR,2012,10474520
United Arab Emirates,ARE,1980,143031
United Arab Emirates,ARE,1981,151336
United Arab Emirates,ARE,1982,156823
United Arab Emirates,ARE,1983,160892
United Arab Emirates,ARE,1984,165490
United Arab Emirates,ARE,1985,172025
United Arab Emirates,ARE,1986,180988
United Arab Emirates,ARE,1987,191917
United Arab Emirates,ARE,1988,204986
United Arab Emirates,ARE,1989,219533
United Arab Emirates,ARE,1990,235130
United Arab Emirates,ARE,1991,252150
United Arab Emirates,ARE,1992,270739
United Arab Emirates,ARE,1993,290264
United Arab Emirates,ARE,1994,309678
United Arab Emirates,ARE,1995,328643
United Arab Emirates,ARE,1996,342095
United Arab Emirates,ARE,1997,349253
United Arab Emirates,ARE,1998,354595
United Arab Emirates,ARE,1999,358930
United Arab Emirates,ARE,2000,363027
United Arab Emirates,ARE,2001,365445
United Arab Emirates,ARE,2002,368571
United Arab Emirates,ARE,2003,381618
United Arab Emirates,ARE,2004,421401
United Arab Emirates,ARE,2005,489986
United Arab Emirates,ARE,2006,592604
United Arab Emirates,ARE,2007,724334
United Arab Emirates,ARE,2008,869488
United Arab Emirates,ARE,2009,1005570
United Arab Emirates,ARE,2010,1116140
United Arab Emirates,ARE,2011,1195008
United Arab Emirates,ARE,2012,1244846
United Kingdom,GBR,1980,16434009
United Kingdom,GBR,1981,16278975
United Kingdom,GBR,1982,16038724
United Kingdom,GBR,1983,15748129
United Kingdom,GBR,1984,15451220
United Kingdom,GBR,1985,15128669
United Kingdom,GBR,1986,14777780
United Kingdom,GBR,1987,14414574
United Kingdom,GBR,1988,14055777
United Kingdom,GBR,1989,13780015
United Kingdom,GBR,1990,13572064
United Kingdom,GBR,1991,13449798
United Kingdom,GBR,1992,13352942
United Kingdom,GBR,1993,13296530
United Kingdom,GBR,1994,13268584
United Kingdom,GBR,1995,13267456
United Kingdom,GBR,1996,13264111
United Kingdom,GBR,1997,13223104
United Kingdom,GBR,1998,13164035
United Kingdom,GBR,1999,13074860
United Kingdom,GBR,2000,12922470
United Kingdom,GBR,2001,12761897
United Kingdom,GBR,2002,12579957
United Kingdom,GBR,2003,12303880
United Kingdom,GBR,2004,12008842
United Kingdom,GBR,2005,11718477
United Kingdom,GBR,2006,11392922
United Kingdom,GBR,2007,11057964
United Kingdom,GBR,2008,10786694
United Kingdom,GBR,2009,10582522
United Kingdom,GBR,2010,10407816
United Kingdom,GBR,2011,10326098
United Kingdom,GBR,2012,10355707
United States,USA,1980,52232402
United States,USA,1981,52230753
United States,USA,1982,52559045
United States,USA,1983,52516876
United States,USA,1984,51771496
United States,USA,1985,50935528
United States,USA,1986,50109208
United States,USA,1987,49421448
United States,USA,1988,48696624
United States,USA,1989,47937804
United States,USA,1990,47292146
United States,USA,1991,46901035
United States,USA,1992,46356087
United States,USA,1993,45681677
United States,USA,1994,44931865
United States,USA,1995,44486513
United States,USA,1996,44253262
United States,USA,1997,44144468
United States,USA,1998,44047670
United States,USA,1999,43801784
United States,USA,2000,43417781
United States,USA,2001,42955437
United States,USA,2002,42503357
United States,USA,2003,42134091
United States,USA,2004,41991711
United States,USA,2005,41858606
United States,USA,2006,41642152
United States,USA,2007,41208245
United States,USA,2008,40705734
United States,USA,2009,40190296
United States,USA,2010,39506090
United States,USA,2011,38783730
United States,USA,2012,38325132
Uruguay,URY,1980,637445
Uruguay,URY,1981,641267
Uruguay,URY,1982,645795
Uruguay,URY,1983,651374
Uruguay,URY,1984,657290
Uruguay,URY,1985,663604
Uruguay,URY,1986,669496
Uruguay,URY,1987,674862
Uruguay,URY,1988,680719
Uruguay,URY,1989,687473
Uruguay,URY,1990,695476
Uruguay,URY,1991,704487
Uruguay,URY,1992,710624
Uruguay,URY,1993,716232
Uruguay,URY,1994,720298
Uruguay,URY,1995,722708
Uruguay,URY,1996,722308
Uruguay,URY,1997,708924
Uruguay,URY,1998,698082
Uruguay,URY,1999,690425
Uruguay,URY,2000,684419
Uruguay,URY,2001,678372
Uruguay,URY,2002,672220
Uruguay,URY,2003,664580
Uruguay,URY,2004,649908
Uruguay,URY,2005,634737
Uruguay,URY,2006,620714
Uruguay,URY,2007,604913
Uruguay,URY,2008,591262
Uruguay,URY,2009,580974
Uruguay,URY,2010,580853
Uruguay,URY,2011,583545
Uruguay,URY,2012,588429
Uzbekistan,UZB,1980,933202
Uzbekistan,UZB,1981,970987
Uzbekistan,UZB,1982,1010198
Uzbekistan,UZB,1983,1050219
Uzbekistan,UZB,1984,1090048
Uzbekistan,UZB,1985,1128786
Uzbekistan,UZB,1986,1166522
Uzbekistan,UZB,1987,1203251
Uzbekistan,UZB,1988,1240852
Uzbekistan,UZB,1989,1280138
Uzbekistan,UZB,1990,1321698
Uzbekistan,UZB,1991,1366121
Uzbekistan,UZB,1992,1410098
Uzbekistan,UZB,1993,1454453
Uzbekistan,UZB,1994,1497412
Uzbekistan,UZB,1995,1540412
Uzbekistan,UZB,1996,1583917
Uzbekistan,UZB,1997,1616913
Uzbekistan,UZB,1998,1651021
Uzbekistan,UZB,1999,1684014
Uzbekistan,UZB,2000,1714273
Uzbekistan,UZB,2001,1739380
Uzbekistan,UZB,2002,1761589
Uzbekistan,UZB,2003,1766931
Uzbekistan,UZB,2004,1779492
Uzbekistan,UZB,2005,1801190
Uzbekistan,UZB,2006,1832919
Uzbekistan,UZB,2007,1887440
Uzbekistan,UZB,2008,1952108
Uzbekistan,UZB,2009,2025016
Uzbekistan,UZB,2010,2102482
Uzbekistan,UZB,2011,2182634
Uzbekistan,UZB,2012,2263776
Vanuatu,VUT,1980,14417
Vanuatu,VUT,1981,14763
Vanuatu,VUT,1982,15088
Vanuatu,VUT,1983,15379
Vanuatu,VUT,1984,15667
Vanuatu,VUT,1985,15982
Vanuatu,VUT,1986,16306
Vanuatu,VUT,1987,16658
Vanuatu,VUT,1988,17039
Vanuatu,VUT,1989,17464
Vanuatu,VUT,1990,17925
Vanuatu,VUT,1991,18446
Vanuatu,VUT,1992,19004
Vanuatu,VUT,1993,19582
Vanuatu,VUT,1994,20121
Vanuatu,VUT,1995,20589
Vanuatu,VUT,1996,20979
Vanuatu,VUT,1997,21328
Vanuatu,VUT,1998,21602
Vanuatu,VUT,1999,21762
Vanuatu,VUT,2000,21901
Vanuatu,VUT,2001,22094
Vanuatu,VUT,2002,22347
Vanuatu,VUT,2003,22690
Vanuatu,VUT,2004,23078
Vanuatu,VUT,2005,23467
Vanuatu,VUT,2006,23863
Vanuatu,VUT,2007,24242
Vanuatu,VUT,2008,24701
Vanuatu,VUT,2009,25109
Vanuatu,VUT,2010,24990
Vanuatu,VUT,2011,24860
Vanuatu,VUT,2012,25254
Venezuela,VEN,1980,2302070
Venezuela,VEN,1981,2323859
Venezuela,VEN,1982,2327707
Venezuela,VEN,1983,2289978
Venezuela,VEN,1984,2264781
Venezuela,VEN,1985,2243123
Venezuela,VEN,1986,2246329
Venezuela,VEN,1987,2264961
Venezuela,VEN,1988,2305277
Venezuela,VEN,1989,2311485
Venezuela,VEN,1990,2337962
Venezuela,VEN,1991,2390501
Venezuela,VEN,1992,2456951
Venezuela,VEN,1993,2520200
Venezuela,VEN,1994,2568477
Venezuela,VEN,1995,2626864
Venezuela,VEN,1996,2686606
Venezuela,VEN,1997,2736725
Venezuela,VEN,1998,2784362
Venezuela,VEN,1999,2814922
Venezuela,VEN,2000,2856345
Venezuela,VEN,2001,2906608
Venezuela,VEN,2002,2937488
Venezuela,VEN,2003,2951735
Venezuela,VEN,2004,3001684
Venezuela,VEN,2005,3069210
Venezuela,VEN,2006,3118803
Venezuela,VEN,2007,3182288
Venezuela,VEN,2008,3255984
Venezuela,VEN,2009,3311280
Venezuela,VEN,2010,3355825
Venezuela,VEN,2011,3421867
Venezuela,VEN,2012,3530702
Vietnam,VNM,1980,8678587
Vietnam,VNM,1981,9002559
Vietnam,VNM,1982,9353216
Vietnam,VNM,1983,9727920
Vietnam,VNM,1984,10124467
Vietnam,VNM,1985,10533429
Vietnam,VNM,1986,10959613
Vietnam,VNM,1987,11404278
Vietnam,VNM,1988,11869213
Vietnam,VNM,1989,12350011
Vietnam,VNM,1990,12839422
Vietnam,VNM,1991,13328212
Vietnam,VNM,1992,13817655
Vietnam,VNM,1993,14297001
Vietnam,VNM,1994,14446937
Vietnam,VNM,1995,14539126
Vietnam,VNM,1996,14590543
Vietnam,VNM,1997,14442160
Vietnam,VNM,1998,14378346
Vietnam,VNM,1999,14248455
Vietnam,VNM,2000,14126647
Vietnam,VNM,2001,14002280
Vietnam,VNM,2002,13844907
Vietnam,VNM,2003,13459244
Vietnam,VNM,2004,13296300
Vietnam,VNM,2005,13189657
Vietnam,VNM,2006,13175898
Vietnam,VNM,2007,13219662
